latitude,longitude,temperature_celsius,condition_text,wind_mph,wind_degree,wind_direction,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,visibility_miles,uv_index,gust_mph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_phase,moon_illumination
20.88,70.37,27.7,1.0,11.0,247,15.0,1008.0,29.77,0.0,0.0,70,71,30.4,6.0,6.0,15.0,178.6,31.8,0.1,0.5,14.4,29.0,1,2,5.0,93
21.52,70.47,29.4,16.0,14.3,239,15.0,1008.0,29.76,0.0,0.0,57,46,31.5,6.0,7.0,16.6,188.6,31.1,0.7,0.6,13.7,28.2,1,2,5.0,93
22.24,68.97,27.9,16.0,16.8,236,15.0,1007.0,29.74,0.0,0.0,71,52,30.9,6.0,7.0,21.9,183.6,31.5,0.1,0.5,17.1,52.7,2,2,5.0,93
20.85,72.92,28.4,20.0,9.6,220,12.0,1009.0,29.8,0.1,0.0,70,84,31.6,6.0,6.0,12.1,178.6,32.5,0.2,0.3,10.0,16.8,1,1,5.0,93
20.97,72.9,28.4,20.0,10.1,221,12.0,1009.0,29.79,0.1,0.0,69,89,31.5,6.0,6.0,12.5,178.6,32.5,0.2,0.3,10.0,16.8,1,1,5.0,93
22.47,70.07,29.2,22.0,16.3,242,15.0,1007.0,29.74,0.0,0.0,59,19,31.6,6.0,7.0,19.9,190.3,36.8,3.5,7.4,17.2,42.6,2,2,5.0,93
21.63,69.6,27.7,22.0,14.1,241,15.0,1008.0,29.75,0.0,0.0,70,13,30.2,6.0,7.0,18.6,185.3,30.0,0.4,0.5,16.0,40.7,2,2,5.0,93
20.63,72.93,28.6,20.0,9.2,221,12.0,1009.0,29.8,0.1,0.0,69,83,31.9,6.0,6.0,11.2,173.6,34.7,0.2,0.3,9.9,17.6,1,1,5.0,93
23.22,72.68,30.0,16.0,15.0,240,15.0,1008.0,29.77,0.0,0.0,70,50,31.9,2.0,8.0,10.5,217.0,29.3,4.3,8.9,8.4,14.2,1,1,5.0,93
22.82,70.83,29.0,16.0,9.4,270,13.0,1008.0,29.77,0.0,0.0,75,75,30.3,3.0,7.0,19.0,195.3,39.7,3.9,9.2,18.2,37.6,2,2,5.0,93
22.75,72.68,30.0,16.0,15.0,240,15.0,1008.0,29.77,0.0,0.0,70,50,32.0,2.0,8.0,10.7,212.0,23.3,9.3,32.0,12.1,21.3,1,2,5.0,93
20.32,72.97,28.3,20.0,8.7,219,12.0,1009.0,29.8,0.1,0.0,71,80,31.6,6.0,6.0,11.0,173.6,34.7,0.2,0.3,9.9,17.6,1,1,5.0,93
16.17,81.13,33.0,16.0,8.1,300,14.0,1007.0,29.74,0.2,0.01,63,50,40.9,3.0,7.0,9.8,333.8,73.0,4.0,5.7,22.8,27.5,2,2,5.0,93
16.93,82.22,33.8,22.0,9.6,310,7.0,1006.0,29.71,0.0,0.0,44,6,36.8,6.0,8.0,11.2,377.2,105.9,8.4,23.4,60.0,65.2,3,8,5.0,93
17.7,83.3,32.0,16.0,2.2,175,8.0,1006.0,29.71,0.0,0.0,54,27,35.9,6.0,8.0,2.0,280.4,100.1,1.7,5.4,33.7,38.8,2,3,5.0,93
14.43,79.97,35.3,20.0,15.4,306,7.0,1007.0,29.73,0.1,0.0,40,88,38.7,6.0,8.0,18.8,220.3,38.3,4.7,6.4,8.2,10.8,1,1,5.0,93
13.2,79.12,32.2,16.0,10.5,302,14.0,1009.0,29.78,0.0,0.0,48,45,34.7,6.0,8.0,12.1,201.9,23.6,1.8,0.7,1.3,2.7,1,1,5.0,93
18.3,83.9,32.7,22.0,8.5,331,6.0,1006.0,29.7,0.0,0.0,51,6,36.5,6.0,8.0,10.1,267.0,78.0,1.3,1.3,23.3,27.3,2,2,5.0,93
15.83,78.05,30.9,16.0,11.2,301,14.0,1009.0,29.79,0.0,0.0,50,34,33.0,6.0,8.0,13.0,203.6,32.5,1.5,0.5,2.7,5.1,1,1,5.0,93
16.3,80.45,33.0,16.0,8.1,300,14.0,1007.0,29.74,0.0,0.0,63,50,37.5,3.0,8.0,8.9,257.0,74.4,2.3,5.9,16.6,19.5,2,2,5.0,93
18.12,83.42,33.3,22.0,3.4,334,6.0,1006.0,29.7,0.0,0.0,46,14,36.3,6.0,8.0,3.8,263.7,89.4,1.5,3.5,33.6,38.0,2,3,5.0,93
14.68,77.6,31.0,22.0,11.2,304,7.0,1009.0,29.8,0.0,0.0,45,8,32.2,6.0,8.0,13.0,183.6,30.4,1.7,1.7,1.6,3.3,1,1,5.0,93
16.7,81.1,33.0,16.0,8.1,300,14.0,1007.0,29.74,0.0,0.0,63,50,38.1,3.0,8.0,10.5,340.5,86.6,2.1,5.3,36.5,42.1,2,4,5.0,93
14.47,78.82,32.0,16.0,16.1,320,7.0,1009.0,29.8,0.0,0.0,49,25,33.7,3.0,8.0,15.0,198.6,28.3,3.9,5.0,4.0,6.0,1,1,5.0,93
23.95,86.8,33.0,22.0,6.9,325,7.0,1005.0,29.67,0.0,0.0,47,15,36.2,6.0,8.0,8.1,247.0,78.0,2.6,10.0,42.9,53.6,3,5,5.0,93
22.72,85.95,34.0,9.0,4.3,340,6.0,1005.0,29.68,0.0,0.0,53,25,39.8,2.0,8.0,4.7,270.4,79.4,3.0,5.8,42.6,51.3,3,5,5.0,93
22.62,84.52,32.0,9.0,4.3,270,13.0,1007.0,29.74,0.0,0.0,67,50,34.9,2.0,8.0,6.7,220.3,66.5,0.6,3.0,13.8,16.8,1,2,5.0,93
23.75,84.5,30.9,22.0,7.6,279,13.0,1006.0,29.71,0.0,0.0,56,15,33.9,6.0,8.0,8.7,263.7,36.1,19.4,34.3,37.8,48.1,2,4,5.0,93
23.08,85.28,30.0,9.0,10.5,350,3.0,1010.0,29.83,0.0,0.0,62,50,31.7,2.0,7.0,4.9,223.6,58.7,6.9,9.8,16.2,21.5,2,2,5.0,93
23.98,85.35,28.9,20.0,6.3,299,14.0,1007.0,29.72,0.1,0.0,54,84,30.4,6.0,6.0,7.4,220.3,67.2,4.7,11.3,24.4,32.2,2,3,5.0,93
24.22,84.87,32.0,9.0,9.4,270,13.0,1006.0,29.71,0.0,0.0,67,50,36.6,1.0,8.0,8.5,250.3,51.5,4.5,6.9,27.0,36.9,2,3,5.0,93
24.43,85.52,30.6,22.0,7.4,288,14.0,1006.0,29.7,0.0,0.0,54,12,33.0,6.0,8.0,8.5,273.7,68.7,3.5,5.5,28.0,34.4,2,3,5.0,93
24.18,86.3,31.3,22.0,6.7,309,7.0,1006.0,29.69,0.0,0.0,52,16,33.9,6.0,8.0,7.8,240.3,77.3,6.8,14.8,47.4,57.4,3,5,5.0,93
23.43,84.68,28.0,22.0,2.2,342,6.0,1007.0,29.74,0.0,0.0,54,22,29.2,6.0,7.0,2.5,205.3,57.9,4.2,8.5,16.4,23.0,2,2,5.0,93
25.25,87.65,32.2,22.0,6.0,282,14.0,1005.0,29.66,0.0,0.0,56,17,36.5,6.0,8.0,7.6,467.3,111.6,2.6,9.2,64.6,76.4,3,8,5.0,93
24.83,87.22,32.9,22.0,6.5,306,7.0,1005.0,29.67,0.0,0.0,52,12,37.1,6.0,8.0,7.4,380.5,101.6,2.9,6.7,46.5,58.7,3,5,5.0,93
23.8,86.45,32.5,22.0,5.4,326,6.0,1005.0,29.68,0.0,0.0,47,14,35.1,6.0,8.0,6.3,267.0,69.4,11.0,23.6,66.1,78.1,4,9,5.0,93
24.27,87.25,32.8,22.0,6.7,335,6.0,1005.0,29.67,0.0,0.0,51,14,36.8,6.0,8.0,7.8,240.3,78.7,1.0,1.7,20.5,30.1,2,2,5.0,93
23.78,85.97,31.6,22.0,5.6,324,7.0,1006.0,29.69,0.0,0.0,51,13,34.4,6.0,8.0,6.5,220.3,67.2,8.7,15.7,27.4,35.2,2,3,5.0,93
24.48,86.7,31.5,22.0,6.7,316,7.0,1005.0,29.68,0.0,0.0,52,13,34.4,6.0,8.0,7.8,260.4,80.8,1.5,4.8,34.7,44.8,2,3,5.0,93
23.05,84.55,28.9,22.0,2.2,33,5.0,1007.0,29.73,0.0,0.0,53,20,30.3,6.0,7.0,2.7,207.0,60.8,2.6,6.4,13.4,18.1,1,2,5.0,93
